wavelength_nm	T	IL_dB
1500.00	0.983121	0.073931
1503.33	0.982743	0.075599
1506.67	0.982343	0.077368
1510.00	0.981927	0.079208
1513.33	0.981491	0.081138
1516.67	0.981032	0.083168
1520.00	0.980552	0.085295
1523.33	0.980048	0.087525
1526.67	0.979530	0.089824
1530.00	0.978983	0.092247
1533.33	0.978417	0.094759
1536.67	0.977831	0.097362
1540.00	0.977219	0.100082
1543.33	0.976586	0.102895
1546.67	0.975924	0.105839
1550.00	0.975244	0.108866
1553.33	0.974539	0.112008
1556.67	0.973806	0.115275
1560.00	0.973047	0.118660
1563.33	0.972268	0.122139
1566.67	0.971458	0.125759
1570.00	0.970626	0.129483
1573.33	0.969767	0.133326
1576.67	0.968876	0.137319
1580.00	0.967963	0.141414
1583.33	0.967017	0.145658
1586.67	0.966047	0.150016
1590.00	0.965054	0.154485
1593.33	0.964022	0.159131
1596.67	0.962968	0.163880
1600.00	0.961884	0.168775
