rank	name	metric
1	bump_mn0.18_lp0.07	0.835390624
2	bump_mn0.18_lp0.14	0.835339022
3	bump_mn0.18_lp0.00	0.834984231
4	bump_mn0.18_ln0.07	0.834958281
5	bump_mn0.18_ln0.14	0.834841668
6	bump_mn0.09_lp0.14	0.831945686
7	bump_mn0.09_lp0.07	0.831886294
8	bump_mn0.09_lp0.00	0.831730036
9	bump_mn0.09_ln0.14	0.831618963
10	bump_mn0.09_ln0.07	0.831584210
11	bump_mp0.00_lp0.14	0.829071841
12	bump_mp0.00_lp0.00	0.828890645
13	bump_mp0.00_lp0.07	0.828833985
14	bump_mp0.00_ln0.07	0.828781118
15	bump_mp0.00_ln0.14	0.828699782
16	bump_mp0.09_lp0.14	0.826139212
17	bump_mp0.09_lp0.07	0.826108634
18	bump_mp0.09_lp0.00	0.826057456
19	bump_mp0.09_ln0.07	0.825942379
20	bump_mp0.09_ln0.14	0.825838991
21	bump_mp0.18_lp0.00	0.823281931
22	bump_mp0.18_lp0.14	0.823244548
23	bump_mp0.18_lp0.07	0.823209733
24	bump_mp0.18_ln0.14	0.823193475
25	bump_mp0.18_ln0.07	0.823171598
