rank	name	metric
1	bref_mn0.34_lp0.14	0.839469297
2	bref_mn0.34_lp0.30	0.839367651
3	bref_mn0.34_lp0.22	0.839146542
4	bref_mn0.34_lp0.06	0.839132799
5	bref_mn0.34_ln0.02	0.839093976
6	bref_mn0.28_lp0.30	0.838958265
7	bref_mn0.28_lp0.14	0.838653019
8	bref_mn0.28_lp0.22	0.838648981
9	bref_mn0.28_lp0.06	0.838221461
10	bref_mn0.28_ln0.02	0.837778702
11	bref_mn0.22_lp0.30	0.837236365
12	bref_mn0.22_lp0.22	0.837225289
13	bref_mn0.22_lp0.14	0.836703947
14	bref_mn0.22_ln0.02	0.836520360
15	bref_mn0.22_lp0.06	0.836439880
16	bref_mn0.18_lp0.30	0.835940079
17	bref_mn0.18_lp0.22	0.835541326
18	bref_mn0.18_lp0.06	0.835359283
19	bref_mn0.18_lp0.14	0.835339022
20	bref_mn0.18_ln0.02	0.835188244
21	bref_mn0.14_lp0.30	0.834611185
22	bref_mn0.14_lp0.22	0.834030319
23	bref_mn0.14_lp0.14	0.833747915
24	bref_mn0.14_lp0.06	0.833625519
25	bref_mn0.14_ln0.02	0.833538383
