rank	name	metric
1	bc_mc52_ms18_lc72	0.841568094
2	bc_mc52_ms18_lc84	0.841257394
3	bc_mc52_ms22_lc72	0.841149315
4	bc_mc52_ms18_lc78	0.840964690
5	bc_mc52_ms14_lc84	0.840566594
6	bc_mc52_ms22_lc78	0.840546352
7	bc_mc52_ms22_lc84	0.840542071
8	bc_mc52_ms14_lc72	0.840365938
9	bc_mc52_ms14_lc78	0.839998012
10	bc_mc45_ms14_lc78	0.839763349
11	bc_mc45_ms14_lc84	0.839611988
12	bc_mc45_ms14_lc72	0.839473477
13	bc_mc45_ms18_lc78	0.839469297
14	bc_mc45_ms18_lc72	0.839415874
15	bc_mc45_ms18_lc84	0.838952992
16	bc_mc45_ms22_lc72	0.838575949
17	bc_mc45_ms22_lc78	0.838380494
18	bc_mc45_ms22_lc84	0.838223999
19	bc_mc38_ms22_lc78	0.830118617
20	bc_mc38_ms22_lc72	0.829959325
21	bc_mc38_ms22_lc84	0.829810006
22	bc_mc38_ms18_lc72	0.827213816
23	bc_mc38_ms18_lc78	0.827186065
24	bc_mc38_ms18_lc84	0.826936743
25	bc_mc38_ms14_lc78	0.822957695
26	bc_mc38_ms14_lc72	0.822880655
27	bc_mc38_ms14_lc84	0.822351236
