rank	name	metric
1	sa_mn0.46_lp0.18	0.843700628
2	sa_mn0.46_lp0.10	0.843585377
3	sa_mn0.40_lp0.34	0.843577397
4	sa_mn0.46_lp0.26	0.843324318
5	sa_mn0.46_lp0.34	0.843216836
6	sa_mn0.40_lp0.26	0.843187842
7	sa_mn0.40_lp0.18	0.843182263
8	sa_mn0.46_lp0.02	0.843092398
9	sa_mn0.40_lp0.10	0.842861856
10	sa_mn0.40_lp0.02	0.842622345
11	sa_mn0.34_lp0.34	0.842356054
12	sa_mn0.34_lp0.26	0.841793832
13	sa_mn0.34_lp0.18	0.841489336
14	sa_mn0.34_lp0.10	0.841127202
15	sa_mn0.28_lp0.34	0.840418265
16	sa_mn0.34_lp0.02	0.840373572
17	sa_mn0.28_lp0.26	0.840239063
18	sa_mn0.28_lp0.18	0.839531720
19	sa_mn0.28_lp0.10	0.839004318
20	sa_mn0.28_lp0.02	0.838312356
21	sa_mn0.22_lp0.26	0.838163952
22	sa_mn0.22_lp0.34	0.838151159
23	sa_mn0.22_lp0.18	0.837724823
24	sa_mn0.22_lp0.10	0.836813405
25	sa_mn0.22_lp0.02	0.836170469
